"samplesize","model","m","mfit","s","sfit","color"
100,"NN",0.288,0.315915673512182,0.0192353840616713,0.0348540681749327,"#F0CD0A"
100,"RF",0.298,0.33287206670404,0.0516720427310553,0.0505086784678405,"#8CDA11"
100,"SVM",0.29,0.337380889305933,0.033166247903554,0.0452247977340859,"#F26B59"
200,"NN",0.328,0.332073624737161,0.0465832587954085,0.0363963733749179,"#F0CD0A"
200,"RF",0.35,0.348886040956683,0.0651920240520265,0.0499818383110412,"#8CDA11"
200,"SVM",0.37,0.353192088178812,0.0644204936336256,0.0450073914368807,"#F26B59"
300,"NN",0.33,0.347553871513079,0.0430116263352131,0.0378397905504995,"#F0CD0A"
300,"RF",0.36,0.364239347711122,0.05,0.0494697533037337,"#8CDA11"
300,"SVM",0.356,0.368340829936819,0.044497190922574,0.0448030295725796,"#F26B59"
400,"NN",0.354,0.362337437539746,0.0397492138287036,0.0391823351243901,"#F0CD0A"
400,"RF",0.37,0.378915601757567,0.0533853912601565,0.0489783946535238,"#8CDA11"
400,"SVM",0.378,0.382809592703206,0.0496990945591567,0.0446155523790303,"#F26B59"
500,"NN",0.41,0.376405346516972,0.0418330013267038,0.0404220225193029,"#F0CD0A"
500,"RF",0.43,0.392898417886232,0.0430116263352131,0.0485137335680173,"#8CDA11"
500,"SVM",0.442,0.396580854601226,0.0476445169982864,0.0444488000940806,"#F26B59"
600,"NN",0.412,0.389738622144568,0.0248997991959775,0.0415568681579505,"#F0CD0A"
600,"RF",0.426,0.406171410887327,0.0194935886896179,0.0480817412548201,"#8CDA11"
600,"SVM",0.432,0.409637093754132,0.0349284983931459,0.0443066129555784,"#F26B59"
700,"NN",0.414,0.402318288122344,0.0838450952650183,0.042584887463046,"#F0CD0A"
700,"RF",0.422,0.418718195551064,0.0661059755241536,0.0476883889215378,"#8CDA11"
700,"SVM",0.428,0.421960788285178,0.0567450438364444,0.0441928312013715,"#F26B59"
800,"NN",0.426,0.41409911414023,0.0409878030638384,0.0434947451369039,"#F0CD0A"
800,"RF",0.432,0.430496934203323,0.0420713679359253,0.0473437765450718,"#8CDA11"
800,"SVM",0.44,0.433504114037573,0.0291547594742265,0.0441131222477314,"#F26B59"
900,"NN",0.434,0.42509325671754,0.0409878030638384,0.0442827870234763,"#F0CD0A"
900,"RF",0.454,0.441515529549228,0.0550454357780915,0.0470410832556607,"#8CDA11"
900,"SVM",0.438,0.444272937093847,0.0460434577328854,0.0440619468271148,"#F26B59"
1000,"NN",0.464,0.435367819798159,0.0378153408023781,0.0449585502579317,"#F0CD0A"
1000,"RF",0.478,0.451832206947856,0.0303315017762062,0.0467608989909166,"#8CDA11"
1000,"SVM",0.466,0.454330270936237,0.0336154726279432,0.044026335151647,"#F26B59"
1100,"NN",0.426,0.444989907325972,0.0114017542509914,0.0455315719754388,"#F0CD0A"
1100,"RF",0.444,0.461505191758284,0.0288097205817759,0.0464838136884514,"#8CDA11"
1100,"SVM",0.442,0.463739129046979,0.0277488738510232,0.0439933174334536,"#F26B59"
1200,"NN",0.48,0.454026623244866,0.04,0.0460113893111664,"#F0CD0A"
1200,"RF",0.49,0.470592709339587,0.02,0.0461904172858771,"#8CDA11"
1200,"SVM",0.5,0.47256252490831,0.0223606797749979,0.0439499238846598,"#F26B59"
1300,"NN",0.428,0.462545071498726,0.0782304288624318,0.046407539400283,"#F0CD0A"
1300,"RF",0.444,0.479152985050843,0.0642650760522385,0.0458612997208057,"#8CDA11"
1300,"SVM",0.456,0.480863472002465,0.0673052746818554,0.0438831847173912,"#F26B59"
1400,"NN",0.49,0.470046802335511,0.0339116499156263,0.0466582612359241,"#F0CD0A"
1400,"RF",0.494,0.486765924164223,0.0602494813255683,0.0456547488972422,"#8CDA11"
1400,"SVM",0.512,0.488237440101709,0.0443846820423443,0.043920597103331,"#F26B59"
1500,"NN",0.46,0.476239198281425,0.0628490254498827,0.0467295224853039,"#F0CD0A"
1500,"RF",0.496,0.493186123566139,0.0554977477020464,0.0456635053822681,"#8CDA11"
1500,"SVM",0.466,0.494444902302267,0.0626897120746299,0.0441373450882397,"#F26B59"
1600,"NN",0.506,0.48149811169772,0.0296647939483827,0.0466724532947087,"#F0CD0A"
1600,"RF",0.518,0.498733846037031,0.0481663783151692,0.045769838108111,"#8CDA11"
1600,"SVM",0.532,0.499796377072321,0.0389871773792359,0.0444419891953584,"#F26B59"
1700,"NN",0.498,0.48619939494565,0.0476445169982864,0.0465381838104248,"#F0CD0A"
1700,"RF",0.508,0.503729354357339,0.0370135110466435,0.0458560160069982,"#8CDA11"
1700,"SVM",0.518,0.504602382880051,0.0363318042491699,0.0447430899479286,"#F26B59"
1800,"NN",0.482,0.490718900386468,0.0526307894677631,0.0463778441787387,"#F0CD0A"
1800,"RF",0.494,0.508492911307505,0.036469165057621,0.0458043080111571,"#8CDA11"
1800,"SVM",0.508,0.509173438193637,0.0443846820423443,0.0449492078691914,"#F26B59"
1900,"NN",0.496,0.495432480381426,0.073348483283569,0.0462425645459368,"#F0CD0A"
1900,"RF",0.524,0.513344779667967,0.0512835256198323,0.045496983052815,"#8CDA11"
1900,"SVM",0.512,0.513820061481261,0.0511859355682789,0.0449689034823881,"#F26B59"
2000,"NN",0.464,0.500127990632046,0.0181659021245849,0.0459593097447723,"#F0CD0A"
2000,"RF",0.478,0.518092834431103,0.0432434966208793,0.04466328294877,"#8CDA11"
2000,"SVM",0.488,0.51826373124846,0.0311448230047949,0.0446194252396938,"#F26B59"
2100,"NN",0.522,0.504409748054462,0.0626099033699941,0.0454148655703429,"#F0CD0A"
2100,"RF",0.572,0.522393626509936,0.0661059755241536,0.0432967747297895,"#8CDA11"
2100,"SVM",0.558,0.522128546550039,0.0576194411635517,0.0438963075620708,"#F26B59"
2200,"NN",0.458,0.508378296831842,0.0420713679359253,0.0447500936124517,"#F0CD0A"
2200,"RF",0.488,0.526340432565878,0.0414728827066555,0.0416762151490556,"#8CDA11"
2200,"SVM",0.476,0.525578956678082,0.0397492138287036,0.0429755399259406,"#F26B59"
2300,"NN",0.552,0.512134181147356,0.0697853852894716,0.0441058554609016,"#F0CD0A"
2300,"RF",0.572,0.530026529260339,0.0501996015920445,0.0400803609597501,"#8CDA11"
2300,"SVM",0.558,0.52877941092467,0.0704982269280583,0.0420331118077248,"#F26B59"
2400,"NN",0.54,0.515777945184172,0.0374165738677394,0.0436230127054958,"#F0CD0A"
2400,"RF",0.52,0.53354519325473,0.0291547594742265,0.0387879689150549,"#8CDA11"
2400,"SVM",0.538,0.531894358581885,0.0389871773792359,0.0412450126838451,"#F26B59"
2500,"NN",0.508,0.51941013312546,0.0277488738510232,0.0434424269360372,"#F0CD0A"
2500,"RF",0.514,0.53698970121046,0.0304959013639538,0.038077795768152,"#8CDA11"
2500,"SVM",0.518,0.535088248941811,0.0216794833886788,0.040787232030723,"#F26B59"
2600,"NN",0.53,0.522976515215029,0.0387298334620742,0.0435824278740407,"#F0CD0A"
2600,"RF",0.532,0.540258976229133,0.0501996015920445,0.0378478524376182,"#8CDA11"
2600,"SVM",0.54,0.538250067784004,0.0418330013267038,0.0405912601722541,"#F26B59"
2700,"NN",0.498,0.526360131226314,0.0216794833886788,0.0439248041275582,"#F0CD0A"
2700,"RF",0.548,0.543217705280592,0.0192353840616713,0.0377962195200765,"#8CDA11"
2700,"SVM",0.52,0.541183110864896,0.0316227766016838,0.0404732828709636,"#F26B59"
2800,"NN",0.548,0.529567429636926,0.0460434577328853,0.0444056056161978,"#F0CD0A"
2800,"RF",0.56,0.545907810828613,0.051478150704935,0.0379017582857787,"#8CDA11"
2800,"SVM",0.578,0.543923292441879,0.0567450438364444,0.0404363327612169,"#F26B59"
2900,"NN",0.526,0.532604858924477,0.0336154726279432,0.0449608822595679,"#F0CD0A"
2900,"RF",0.538,0.548371215336968,0.0109544511501033,0.0381433300049761,"#8CDA11"
2900,"SVM",0.522,0.546506526772348,0.0228035085019828,0.0404834424773798,"#F26B59"
3000,"NN",0.558,0.535478867566578,0.0370135110466435,0.0455266839772766,"#F0CD0A"
3000,"RF",0.556,0.550649841269433,0.0219089023002066,0.0384997959479203,"#8CDA11"
3000,"SVM",0.574,0.548968728113694,0.0415932686861708,0.0406176446538179,"#F26B59"
3100,"NN",0.552,0.538195904040839,0.0626099033699941,0.0460390606889322,"#F0CD0A"
3100,"RF",0.582,0.552785611089783,0.0454972526643093,0.0389500173848629,"#8CDA11"
3100,"SVM",0.568,0.551345810723312,0.0370135110466435,0.0408419719248967,"#F26B59"
3200,"NN",0.508,0.540762416824872,0.0486826457785524,0.0464340623141429,"#F0CD0A"
3200,"RF",0.532,0.55482044726179,0.0294957624075052,0.0394728555860553,"#8CDA11"
3200,"SVM",0.524,0.553673688858594,0.0415932686861708,0.041159456924982,"#F26B59"
3300,"NN",0.546,0.543146167687055,0.0618869937870632,0.0468009168573923,"#F0CD0A"
3300,"RF",0.556,0.55661160981435,0.0598331012066064,0.040189116161715,"#8CDA11"
3300,"SVM",0.562,0.555885809557616,0.0370135110466435,0.0416263048926614,"#F26B59"
3400,"NN",0.53,0.545343388984451,0.06,0.0472280461186254,"#F0CD0A"
3400,"RF",0.556,0.558088941540661,0.0151657508881031,0.0411460326411428,"#8CDA11"
3400,"SVM",0.546,0.557931295867245,0.0371483512420134,0.0422420348706398,"#F26B59"
3500,"NN",0.542,0.547403235077696,0.0465832587954084,0.0476502907106429,"#F0CD0A"
3500,"RF",0.564,0.559403239050949,0.0808084154033477,0.0422121081732152,"#8CDA11"
3500,"SVM",0.558,0.559869576058062,0.047116875957559,0.0429246501994591,"#F26B59"
3600,"NN",0.57,0.549374860327424,0.0141421356237309,0.0480024912462453,"#F0CD0A"
3600,"RF",0.56,0.560705298955442,0.0324037034920393,0.0432558459068089,"#8CDA11"
3600,"SVM",0.582,0.561760078400647,0.00836660026534076,0.0435921542196609,"#F26B59"
3700,"NN",0.55,0.551307419094271,0.0552268050859363,0.0482194883382333,"#F0CD0A"
3700,"RF",0.576,0.562145917864365,0.0541294744108974,0.0441457489908003,"#8CDA11"
3700,"SVM",0.566,0.563662231165583,0.0730068489937759,0.044162550271787,"#F26B59"
3800,"NN",0.566,0.553250065738873,0.0606630035524124,0.0482361225994076,"#F0CD0A"
3800,"RF",0.548,0.563875892387947,0.0535723809439155,0.0447503205740661,"#8CDA11"
3800,"SVM",0.566,0.56563546262345,0.0622896460095897,0.0445538416963792,"#F26B59"
3900,"NN",0.556,0.555154565793581,0.0844393273303382,0.0481187364385226,"#F0CD0A"
3900,"RF",0.576,0.565767624226579,0.0541294744108974,0.0451948323493716,"#8CDA11"
3900,"SVM",0.564,0.567623369023658,0.0650384501660364,0.0448507851579019,"#F26B59"
4000,"NN",0.532,0.556941643831656,0.0396232255123179,0.0479620844194015,"#F0CD0A"
4000,"RF",0.56,0.567606201842434,0.0479583152331272,0.0456683179974445,"#8CDA11"
4000,"SVM",0.548,0.569535600913969,0.0506951674225463,0.0451768067460136,"#F26B59"
4100,"NN",0.576,0.558613892775094,0.0531977443130815,0.0477436253874482,"#F0CD0A"
